id,colecao,titulo,largura_px,altura_px,arquivo
KC03-05,03_tech_people,Automatizar: mais com menos,2048,1960,PNG/03_tech_people/KC03-05.png
KC03-06,03_tech_people,"Chip: ideias, tecnologia, pessoas, impacto",2048,1484,PNG/03_tech_people/KC03-06.png
KC03-07,03_tech_people,Escalar sem limites,1962,2048,PNG/03_tech_people/KC03-07.png
KC03-08,03_tech_people,Conexão que gera oportunidades,1714,2048,PNG/03_tech_people/KC03-08.png
KC03-09,03_tech_people,"Notebook: ideias, projetos, pessoas, resultados",2048,1549,PNG/03_tech_people/KC03-09.png
KC03-10,03_tech_people,Ideias em movimento: do plano ao impacto,2048,928,PNG/03_tech_people/KC03-10.png
KC03-11,03_tech_people,Vamos construir algo incrível hoje?,1158,2048,PNG/03_tech_people/KC03-11.png
KC03-12,03_tech_people,"KeyCore: pessoas, ideias, tecnologia, resultados",2084,752,PNG/03_tech_people/KC03-12.png
KC03-13,03_tech_people,Build better: um futuro mais aberto,2048,1191,PNG/03_tech_people/KC03-13.png
KC03-14,03_tech_people,Comunidade que constrói,2048,1694,PNG/03_tech_people/KC03-14.png
KC04-01,04_construir_juntos,KeyCore Tech Hub,2572,800,PNG/04_construir_juntos/KC04-01.png
KC04-02,04_construir_juntos,Vamos construir,2048,1401,PNG/04_construir_juntos/KC04-02.png
KC04-03,04_construir_juntos,Grandes ideias por aqui!,2048,1676,PNG/04_construir_juntos/KC04-03.png
KC04-04,04_construir_juntos,Ideias viram produto,2048,1513,PNG/04_construir_juntos/KC04-04.png
KC04-05,04_construir_juntos,Fluxo: automação que liberta,2048,1981,PNG/04_construir_juntos/KC04-05.png
KC04-06,04_construir_juntos,Deploy: ideias mais longe,1579,2048,PNG/04_construir_juntos/KC04-06.png
KC04-07,04_construir_juntos,Produto em ação,2048,1427,PNG/04_construir_juntos/KC04-07.png
KC04-08,04_construir_juntos,Juntos vamos mais longe,2048,1479,PNG/04_construir_juntos/KC04-08.png
KC04-09,04_construir_juntos,"Criar: ideias, produtos, impacto",2048,1294,PNG/04_construir_juntos/KC04-09.png
KC04-10,04_construir_juntos,"Planejar, construir, automatizar, evoluir",1773,2048,PNG/04_construir_juntos/KC04-10.png
KC04-11,04_construir_juntos,"Mais pessoas, mais impacto",2048,1844,PNG/04_construir_juntos/KC04-11.png
KC04-12,04_construir_juntos,"Ideias, tecnologia, pessoas, impacto",1962,2048,PNG/04_construir_juntos/KC04-12.png
KC04-13,04_construir_juntos,"Tech Hub: conexão, inovação, resultados",2048,1494,PNG/04_construir_juntos/KC04-13.png
KC04-14,04_construir_juntos,Crescer juntos,2048,1130,PNG/04_construir_juntos/KC04-14.png
KC04-15,04_construir_juntos,KeyCore Tech Hub: assinatura,2048,932,PNG/04_construir_juntos/KC04-15.png
KC05-01,05_ideias_que_movem,KeyCore Tech Hub,2488,840,PNG/05_ideias_que_movem/KC05-01.png
KC05-02,05_ideias_que_movem,Ideias que movem,2048,1674,PNG/05_ideias_que_movem/KC05-02.png
KC05-03,05_ideias_que_movem,Olá! Robô KeyCore,2048,1892,PNG/05_ideias_que_movem/KC05-03.png
KC05-04,05_ideias_que_movem,"Código: people first, tech for good",2048,1594,PNG/05_ideias_que_movem/KC05-04.png
KC05-05,05_ideias_que_movem,Automação escala ideias,2048,1883,PNG/05_ideias_que_movem/KC05-05.png
KC05-06,05_ideias_que_movem,"Chip: tech, people, ideas, impact",2048,1405,PNG/05_ideias_que_movem/KC05-06.png
KC05-07,05_ideias_que_movem,Construir um amanhã melhor,2048,1256,PNG/05_ideias_que_movem/KC05-07.png
KC05-08,05_ideias_que_movem,Notebook KeyCore,2048,1535,PNG/05_ideias_que_movem/KC05-08.png
KC05-09,05_ideias_que_movem,"Ideias, construir, automação, deploy rápido",1275,2048,PNG/05_ideias_que_movem/KC05-09.png
KC05-10,05_ideias_que_movem,Deploy rápido,2048,1594,PNG/05_ideias_que_movem/KC05-10.png
KC05-11,05_ideias_que_movem,"KeyCore: conexão, inovação, resultados",2764,692,PNG/05_ideias_que_movem/KC05-11.png
KC05-12,05_ideias_que_movem,People first,2048,1007,PNG/05_ideias_que_movem/KC05-12.png
KC06-01,06_lancar_e_evoluir,KeyCore Tech Hub,2048,1767,PNG/06_lancar_e_evoluir/KC06-01.png
KC06-02,06_lancar_e_evoluir,"Notebook: ideias, código, produto, impacto",2048,1665,PNG/06_lancar_e_evoluir/KC06-02.png
KC06-03,06_lancar_e_evoluir,Lançar é evoluir,1615,2048,PNG/06_lancar_e_evoluir/KC06-03.png
KC06-04,06_lancar_e_evoluir,Bora construir,2048,1746,PNG/06_lancar_e_evoluir/KC06-04.png
KC06-05,06_lancar_e_evoluir,Grandes ideias reais,1618,2048,PNG/06_lancar_e_evoluir/KC06-05.png
KC06-06,06_lancar_e_evoluir,Evolução em conjunto,1503,2048,PNG/06_lancar_e_evoluir/KC06-06.png
KC06-07,06_lancar_e_evoluir,Automação que liberta,1848,2048,PNG/06_lancar_e_evoluir/KC06-07.png
KC06-08,06_lancar_e_evoluir,Ideias em código,2048,1883,PNG/06_lancar_e_evoluir/KC06-08.png
KC06-09,06_lancar_e_evoluir,"Pessoas, ideias, resultados",1864,2048,PNG/06_lancar_e_evoluir/KC06-09.png
KC06-10,06_lancar_e_evoluir,"Ideias em movimento: planejar, desenvolver, lançar",2048,1126,PNG/06_lancar_e_evoluir/KC06-10.png
KC06-11,06_lancar_e_evoluir,Tecnologia sem fronteiras,1837,2048,PNG/06_lancar_e_evoluir/KC06-11.png
KC06-12,06_lancar_e_evoluir,Inovação todo dia,1487,2048,PNG/06_lancar_e_evoluir/KC06-12.png
KC06-13,06_lancar_e_evoluir,"KeyCore: mais que tecnologia, pessoas em ação",1820,2048,PNG/06_lancar_e_evoluir/KC06-13.png
KC07-01,07_keep_building,"KeyCore: build, people, ideas",1657,2048,PNG/07_keep_building/KC07-01.png
KC07-02,07_keep_building,"Good software, brighter tomorrows",2048,1973,PNG/07_keep_building/KC07-02.png
KC07-03,07_keep_building,"Solve, build, repeat",2048,1838,PNG/07_keep_building/KC07-03.png
KC07-04,07_keep_building,KeyCore Tech Hub,2212,680,PNG/07_keep_building/KC07-04.png
KC07-05,07_keep_building,Produto em ação,2048,1590,PNG/07_keep_building/KC07-05.png
KC07-06,07_keep_building,"Planejar, construir, entregar",2048,1229,PNG/07_keep_building/KC07-06.png
KC07-07,07_keep_building,Make ideas real,2048,1667,PNG/07_keep_building/KC07-07.png
KC07-08,07_keep_building,Deploy good things,2048,1683,PNG/07_keep_building/KC07-08.png
KC07-09,07_keep_building,Em sincronia com o que vem,1801,2048,PNG/07_keep_building/KC07-09.png
KC07-10,07_keep_building,"Pessoas, tecnologia, grandes ideias",1587,2048,PNG/07_keep_building/KC07-10.png
KC07-11,07_keep_building,Ideias em ação,1429,2048,PNG/07_keep_building/KC07-11.png
KC07-12,07_keep_building,"Mais ideias, mais impacto",1450,2048,PNG/07_keep_building/KC07-12.png
KC07-13,07_keep_building,Tecnologia na sua mão,1190,2048,PNG/07_keep_building/KC07-13.png
KC07-14,07_keep_building,Ideias que movem,2048,1517,PNG/07_keep_building/KC07-14.png
KC07-15,07_keep_building,Gente + produto + impacto,3440,484,PNG/07_keep_building/KC07-15.png
KC07-16,07_keep_building,Keep building,2048,1621,PNG/07_keep_building/KC07-16.png
KC08-01,08_codigo_em_acao,Símbolo KeyCore,2048,1629,PNG/08_codigo_em_acao/KC08-01.png
KC08-02,08_codigo_em_acao,KeyCore Tech Hub,2384,708,PNG/08_codigo_em_acao/KC08-02.png
KC08-03,08_codigo_em_acao,Deploy rápido,2048,1101,PNG/08_codigo_em_acao/KC08-03.png
KC08-04,08_codigo_em_acao,Código em ação,2048,1190,PNG/08_codigo_em_acao/KC08-04.png
KC08-05,08_codigo_em_acao,"Mais produto, menos ruído",2048,1769,PNG/08_codigo_em_acao/KC08-05.png
KC08-06,08_codigo_em_acao,"Conexão, inovação, resultados",2048,1312,PNG/08_codigo_em_acao/KC08-06.png
KC08-07,08_codigo_em_acao,Fluxo,2048,1033,PNG/08_codigo_em_acao/KC08-07.png
KC08-08,08_codigo_em_acao,Comunidade que constrói,2048,1400,PNG/08_codigo_em_acao/KC08-08.png
KC08-09,08_codigo_em_acao,Ideias em resultados,2048,1062,PNG/08_codigo_em_acao/KC08-09.png
KC08-10,08_codigo_em_acao,"Plan, build, test, deploy",1690,2048,PNG/08_codigo_em_acao/KC08-10.png
KC08-11,08_codigo_em_acao,Na nuvem ideias vão mais longe,1795,2048,PNG/08_codigo_em_acao/KC08-11.png
KC08-12,08_codigo_em_acao,Vamos construir?,2048,1573,PNG/08_codigo_em_acao/KC08-12.png
KC08-13,08_codigo_em_acao,"Café, código, progresso",1603,2048,PNG/08_codigo_em_acao/KC08-13.png
KC08-14,08_codigo_em_acao,Tecnologia sem fronteiras,2024,2048,PNG/08_codigo_em_acao/KC08-14.png
KC09-01,09_build_better,KeyCore Tech Hub,2488,752,PNG/09_build_better/KC09-01.png
KC09-02,09_build_better,Bora construir,2048,1181,PNG/09_build_better/KC09-02.png
KC09-03,09_build_better,Ideias em movimento,2048,1763,PNG/09_build_better/KC09-03.png
KC09-04,09_build_better,"Produto, código, impacto",2048,1759,PNG/09_build_better/KC09-04.png
KC09-05,09_build_better,Escalar com propósito,1744,2048,PNG/09_build_better/KC09-05.png
KC09-06,09_build_better,"Na nuvem, mais longe",1903,2048,PNG/09_build_better/KC09-06.png
KC09-07,09_build_better,Build better,2048,1198,PNG/09_build_better/KC09-07.png
KC09-08,09_build_better,Tech for people,1458,2048,PNG/09_build_better/KC09-08.png
KC09-09,09_build_better,Comunidade que impulsiona,2048,984,PNG/09_build_better/KC09-09.png
KC09-10,09_build_better,Design systems para o amanhã,2048,1393,PNG/09_build_better/KC09-10.png
KC09-11,09_build_better,"Conectar, aprender, construir",2048,1610,PNG/09_build_better/KC09-11.png
KC09-12,09_build_better,"KeyCore: pessoas, ideias, tecnologia, impacto",2648,804,PNG/09_build_better/KC09-12.png
KC09-13,09_build_better,Grandes produtos começam aqui,2048,891,PNG/09_build_better/KC09-13.png
KC10-01,10_devolvemos_tempo,KeyCore Tech Hub,2048,1784,PNG/10_devolvemos_tempo/KC10-01.png
KC10-02,10_devolvemos_tempo,Devolvemos tempo,2048,1351,PNG/10_devolvemos_tempo/KC10-02.png
KC10-03,10_devolvemos_tempo,"Mais ideias, menos tarefas",2048,2025,PNG/10_devolvemos_tempo/KC10-03.png
KC10-04,10_devolvemos_tempo,Automatize hoje. Viva o agora.,2048,1493,PNG/10_devolvemos_tempo/KC10-04.png
KC10-05,10_devolvemos_tempo,Trabalhando para o seu tempo,2048,1256,PNG/10_devolvemos_tempo/KC10-05.png
KC10-06,10_devolvemos_tempo,"Menos processo, mais pessoas",2048,1893,PNG/10_devolvemos_tempo/KC10-06.png
KC10-07,10_devolvemos_tempo,Tempo é o novo luxo,2048,1979,PNG/10_devolvemos_tempo/KC10-07.png
KC10-08,10_devolvemos_tempo,IA trabalhando por você,2048,1027,PNG/10_devolvemos_tempo/KC10-08.png
KC10-09,10_devolvemos_tempo,"Foco, estratégia, liberdade, tempo",2048,2009,PNG/10_devolvemos_tempo/KC10-09.png
KC10-10,10_devolvemos_tempo,Ctrl + Tempo,2048,1109,PNG/10_devolvemos_tempo/KC10-10.png
KC10-11,10_devolvemos_tempo,KeyCore: devolvemos tempo,2048,947,PNG/10_devolvemos_tempo/KC10-11.png
KC10-12,10_devolvemos_tempo,"Mais vida, menos rotina",2048,1594,PNG/10_devolvemos_tempo/KC10-12.png
KC10-13,10_devolvemos_tempo,Automação que te leva mais longe,2048,1344,PNG/10_devolvemos_tempo/KC10-13.png
KC10-14,10_devolvemos_tempo,Tecnologia para o que realmente importa,2048,1398,PNG/10_devolvemos_tempo/KC10-14.png
KC10-15,10_devolvemos_tempo,"Caos desligado, tempo ligado",2048,1643,PNG/10_devolvemos_tempo/KC10-15.png
KC10-16,10_devolvemos_tempo,"Ideias, projetos, pessoas, tempo",2048,1238,PNG/10_devolvemos_tempo/KC10-16.png
KC10-17,10_devolvemos_tempo,Seu tempo vale mais,2048,1522,PNG/10_devolvemos_tempo/KC10-17.png
KC10-18,10_devolvemos_tempo,Tecnologia sem complicação para mais humanidade,2048,1005,PNG/10_devolvemos_tempo/KC10-18.png
KC10-19,10_devolvemos_tempo,Mais tempo para o que importa,2048,1667,PNG/10_devolvemos_tempo/KC10-19.png
KC10-20,10_devolvemos_tempo,"KeyCore: devolvemos tempo, assinatura",2048,977,PNG/10_devolvemos_tempo/KC10-20.png
